# W: 60, PAA: 7, A: 7, S: exact
10,1139,709,791,749
50,3638,2189,2569,2357
125,5969,3646,4122,3755
250,8632,4917,6089,5509
500,11602,6549,8163,7360
750,14008,7725,9969,8919
1000,15661,8536,11388,9692
10,1131,701,793,734
50,3423,2104,2348,2199
125,5795,3391,4067,3693
250,8263,4706,5734,5351
500,11671,6430,8427,7372
750,13803,7777,9655,8756
1000,15626,8635,11166,9778
10,1081,685,714,728
50,3460,2160,2342,2244
125,5990,3470,4185,3857
250,8488,4967,5905,5331
500,11746,6611,8329,7362
750,13918,7610,10061,8670
1000,15645,8453,11165,10055
10,1107,699,744,754
50,3504,2073,2383,2381
125,5671,3375,3872,3680
250,8563,4858,6103,5468
500,11668,6465,8333,7432
750,13614,7622,9615,8643
1000,15434,8490,11147,9631
10,1144,719,773,762
50,3484,2071,2380,2351
125,6064,3459,4269,3876
250,8668,5017,6131,5414
500,11610,6487,8290,7250
750,13971,7761,10009,8686
1000,15336,8506,10961,9609
10,1119,691,780,729
50,3652,2221,2529,2378
125,5960,3466,4141,3902
250,8533,4831,6040,5386
500,11434,6384,8125,7204
750,13846,7817,9729,8676
1000,15366,8388,11142,9568
10,1161,739,787,772
50,3660,2182,2543,2410
125,6111,3633,4211,3963
250,8589,4725,6123,5567
500,11736,6626,8382,7285
750,13837,7513,9965,8787
1000,15611,8634,11192,9701
10,1148,730,794,743
50,3384,1838,2482,2298
125,5994,3536,4198,3854
250,8694,4917,6046,5715
500,11676,6536,8297,7452
750,14085,7690,10111,8871
1000,15374,8441,11049,9630
10,1152,710,792,775
50,3579,2099,2477,2385
125,5761,3463,3881,3773
250,8716,4977,6165,5460
500,11888,6559,8488,7520
750,13613,7789,9605,8390
1000,15655,8771,11194,9888
10,1169,757,832,718
50,3667,2258,2459,2423
125,5832,3327,4045,3900
250,8608,4927,6046,5524
500,11762,6537,8390,7425
750,13980,7759,9950,8821
1000,15432,8498,11115,9569
