"","cylinder0","bell0","cylinder1","bell2","funnel1","bell1","funnel0","funnel3","funnel2","cylinder2","cylinder3","bell3"
"aabc",0.0000000000,0.8122937261,0.0000000000,0.7391918543,0.0000000000,0.7138064495,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6480600035
"aacb",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2666988151,0.0000000000,0.3142048617,0.3055652076,0.2585234835,0.0000000000,0.0000000000,0.0000000000
"aacc",0.0670421056,0.2047816836,0.0697137663,0.1399981735,0.0984305974,0.2130731198,0.0000000000,0.0000000000,0.0954133258,0.0000000000,0.0000000000,0.1620399109
"abbb",0.5289987477,0.0000000000,0.5490472622,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3258001567,0.1996941725,0.0000000000
"abbc",0.0891210109,0.3361250278,0.0926725268,0.1861036231,0.0000000000,0.1448419261,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0979731078,0.2154043423
"abca",0.0000000000,0.1441451439,0.0000000000,0.3793266320,0.0000000000,0.2952247736,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4390489681
"abcb",0.0143869986,0.0225363623,0.0000000000,0.0300431125,0.0416150874,0.0233821470,0.0248853922,0.0242011215,0.0402792783,0.0131035012,0.0158160118,0.0347731913
"abcc",0.0877906394,0.0920821906,0.0616996952,0.0629516189,0.0442603307,0.0726625667,0.0000000000,0.0000000000,0.0429035834,0.0540685667,0.0651942136,0.0370387598
"acba",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2666988151,0.0000000000,0.6165500661,0.3055652076,0.2585234835,0.0000000000,0.0000000000,0.0000000000
"acbb",0.0000000000,0.0000000000,0.1505239828,0.0000000000,0.2125285483,0.0000000000,0.0000000000,0.2435006319,0.2060137412,0.1318414448,0.0000000000,0.0000000000
"acbc",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2698304885,0.3256871675,0.0000000000
"acca",0.0000000000,0.0531996838,0.0000000000,0.0709451356,0.0984305974,0.0551128778,0.2275502848,0.1127750265,0.0954133258,0.0000000000,0.0000000000,0.0823705382
"accb",0.0670421056,0.0000000000,0.0697137663,0.0000000000,0.1939225249,0.0000000000,0.1159636657,0.2219692820,0.1876977757,0.1202431441,0.0737011774,0.0000000000
"accc",0.3578794384,0.0000000000,0.1888902370,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3258001567,0.1996941725,0.0000000000
"babb",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4516801625,0.0000000000
"bbab",0.4515935717,0.0000000000,0.4691378305,0.0000000000,0.0000000000,0.0000000000,0.3964823919,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
