# W: 60, PAA: 7, A: 7, S: noreduction, Damage percentage: 30, Noise stdDev: 40
10.0,0.3729,0.4032,72409,180,1533
50.0,0.4002,0.35786666666666667,81585,436,6822
125.0,0.40846666666666664,0.3218333333333333,89210,927,15266
250.0,0.4271666666666667,0.3103666666666667,100857,1705,32470
500.0,0.4294,0.3083,143446,3850,57413
750.0,0.42876666666666663,0.3037333333333333,165281,5324,91765
1000.0,0.4326333333333333,0.30356666666666665,138828,6958,129096
10.0,0.38426666666666665,0.4062,75605,78,1469
50.0,0.37573333333333336,0.34340000000000004,109056,376,17685
125.0,0.4006333333333333,0.3214,120770,943,20497
250.0,0.42989999999999995,0.3119333333333333,136020,3170,32242
500.0,0.4319666666666667,0.30710000000000004,117302,3676,65206
750.0,0.43443333333333334,0.30179999999999996,133426,5183,93024
1000.0,0.4191666666666667,0.3043666666666667,137399,7068,124711
10.0,0.3332666666666667,0.38139999999999996,74568,82,1179
50.0,0.3683666666666666,0.32533333333333336,80206,366,5382
125.0,0.4116333333333333,0.3303666666666667,92047,876,16138
250.0,0.4353,0.31523333333333337,102728,1915,32691
500.0,0.4174333333333333,0.3067,120352,3733,64291
750.0,0.42266666666666663,0.3028666666666666,127551,5334,98098
1000.0,0.45299999999999996,0.3075,132608,6818,126004
10.0,0.34530000000000005,0.3964333333333333,72368,78,1433
50.0,0.384,0.3370333333333333,81024,372,5846
125.0,0.42066666666666663,0.32453333333333334,93054,936,15038
250.0,0.4290666666666667,0.31586666666666663,100519,1848,32205
500.0,0.42933333333333334,0.30576666666666663,111276,3729,63410
750.0,0.4288333333333333,0.3050666666666667,127767,5362,98819
1000.0,0.44086666666666663,0.29746666666666666,131102,7382,118740
10.0,0.3493666666666667,0.39393333333333336,71683,70,1551
50.0,0.3977666666666667,0.34476666666666667,80697,384,6061
125.0,0.4246333333333333,0.3271333333333334,89629,890,14790
250.0,0.4197666666666666,0.3137333333333333,99300,1879,30570
500.0,0.4406,0.30923333333333336,110725,3647,58056
750.0,0.4407333333333333,0.3048333333333333,132024,5311,88981
1000.0,0.4346,0.2992666666666667,133387,7235,123951
10.0,0.3469333333333333,0.4246,72787,77,1392
50.0,0.39380000000000004,0.3382666666666667,81297,376,7053
125.0,0.41336666666666666,0.3212666666666667,90039,924,16978
250.0,0.43023333333333336,0.31323333333333336,100739,1839,29974
500.0,0.4293,0.3096,110962,3557,66702
750.0,0.42810000000000004,0.3043,131468,5333,89214
1000.0,0.43413333333333337,0.2985333333333333,140599,7233,118898
10.0,0.39816666666666667,0.3976666666666666,73117,78,1409
50.0,0.3841,0.33033333333333337,80609,365,6715
125.0,0.4073,0.3232333333333334,88655,911,14742
250.0,0.4217666666666666,0.31210000000000004,100764,1762,29664
500.0,0.42623333333333335,0.30356666666666665,116901,3700,59918
750.0,0.4219666666666667,0.3033666666666667,131756,5158,86776
1000.0,0.43179999999999996,0.30456666666666665,135903,6918,116400
10.0,0.37050000000000005,0.3987333333333334,73067,89,1556
50.0,0.3763333333333333,0.3412333333333334,83156,377,6722
125.0,0.4184333333333333,0.32020000000000004,89603,915,16160
250.0,0.4284,0.3161333333333334,101581,1848,32355
500.0,0.42813333333333337,0.3085333333333333,113383,3884,60059
750.0,0.43723333333333336,0.3077,123899,5386,86764
1000.0,0.43113333333333337,0.30300000000000005,126869,7017,116112
10.0,0.3349,0.40490000000000004,71722,82,1382
50.0,0.40246666666666664,0.3363666666666667,80233,369,5963
125.0,0.4231666666666667,0.31920000000000004,85726,861,15619
250.0,0.42566666666666664,0.31823333333333337,97744,1847,26151
500.0,0.4293666666666667,0.30179999999999996,108991,3409,57275
750.0,0.43479999999999996,0.3033666666666667,119781,5324,86142
1000.0,0.4371666666666667,0.30576666666666663,130582,6637,116284
10.0,0.38439999999999996,0.40236666666666665,70402,82,1504
50.0,0.39813333333333334,0.33866666666666667,80008,389,5893
125.0,0.4148666666666667,0.3271333333333334,86695,918,14885
250.0,0.41446666666666665,0.32076666666666664,96478,1720,27848
500.0,0.4423,0.30489999999999995,109271,3531,53213
750.0,0.4349666666666666,0.3023,118337,5073,83017
1000.0,0.42510000000000003,0.30169999999999997,134201,6637,113033
