W: 60, PAA: 8, A: 8, S: classic
10,0.30646666666666667,0.1757333333333333,39063,898
20,0.24686666666666668,0.06520000000000004,41524,1972
30,0.22373333333333334,0.06320000000000003,47086,2636
40,0.18013333333333337,0.0729333333333333,44624,3571
50,0.1642,0.023399999999999976,46706,4214
100,0.08140000000000003,0.012466666666666626,50456,7585
150,0.07420000000000004,0.010333333333333306,51739,10581
200,0.04500000000000004,0.007800000000000029,65648,13149
250,0.03720000000000001,0.01206666666666667,73183,18137
300,0.03073333333333328,0.008666666666666711,91593,21015
350,0.025933333333333364,0.003066666666666662,91849,27980
400,0.021199999999999997,0.005666666666666709,85009,33843
450,0.02093333333333336,0.005066666666666664,111815,36839
500,0.01639999999999997,0.004933333333333345,101252,40740
500,0.01646666666666663,0.008666666666666711,121975,44208
600,0.013333333333333308,0.0038000000000000256,144459,46759
700,0.013266666666666649,0.002866666666666684,126338,58201
800,0.010333333333333306,0.0043999999999999595,142086,68658
900,0.009000000000000008,0.0029333333333333433,186086,88353
1000,0.008066666666666666,0.0031333333333333213,173815,77591
10,0.351,0.3726666666666667,35873,756
20,0.1962666666666667,0.10766666666666669,37360,1504
30,0.1932666666666667,0.04413333333333336,37649,2181
40,0.15400000000000003,0.09419999999999995,38673,2894
50,0.12980000000000003,0.04146666666666665,39410,4359
100,0.08386666666666664,0.016733333333333378,48945,8315
150,0.06553333333333333,0.01313333333333333,56207,10581
200,0.045599999999999974,0.013533333333333286,57074,15233
250,0.035733333333333284,0.008533333333333282,67847,20098
300,0.027599999999999958,0.007399999999999962,68927,24986
350,0.026666666666666616,0.011066666666666669,72161,28319
400,0.02426666666666666,0.0043999999999999595,90436,30728
450,0.0198666666666667,0.005600000000000049,85015,33678
500,0.01739999999999997,0.004066666666666663,84638,39811
500,0.017133333333333334,0.005266666666666642,96050,39528
600,0.013733333333333375,0.008133333333333326,106445,46660
700,0.012199999999999989,0.005600000000000049,133087,46756
800,0.011466666666666625,0.0031333333333333213,134725,60625
900,0.01093333333333335,0.0020000000000000018,164649,67519
1000,0.008333333333333304,0.004266666666666641,161571,89969
10,0.33673333333333333,0.22593333333333332,37304,783
20,0.2859333333333334,0.06966666666666665,39043,1684
30,0.18753333333333333,0.06666666666666665,41606,2357
40,0.1822666666666667,0.06820000000000004,41027,3030
50,0.17059999999999997,0.02646666666666664,39949,3785
100,0.09833333333333338,0.009333333333333305,49609,7710
150,0.06440000000000001,0.00873333333333337,60353,11937
200,0.04459999999999997,0.008000000000000007,56107,16518
250,0.035599999999999965,0.007199999999999984,62345,20013
300,0.03473333333333328,0.005533333333333279,75289,24682
350,0.029000000000000026,0.005066666666666664,80071,26878
400,0.024800000000000044,0.006399999999999961,86738,32099
450,0.02739999999999998,0.003866666666666685,89836,34533
500,0.019066666666666676,0.005266666666666642,99285,39387
500,0.01766666666666672,0.00539999999999996,104874,42079
600,0.015133333333333332,0.004466666666666619,103917,46405
700,0.01319999999999999,0.006000000000000005,100499,59805
800,0.01213333333333333,0.004466666666666619,145546,80972
900,0.008666666666666711,0.002466666666666617,154060,73985
1000,0.009266666666666645,0.002866666666666684,178583,83161
10,0.3742,0.2766666666666666,36220,837
20,0.20366666666666666,0.07846666666666668,37106,1591
30,0.21860000000000002,0.0514,38793,2486
40,0.1847333333333333,0.08046666666666669,40675,3094
50,0.12786666666666668,0.036733333333333285,41097,3712
100,0.0938,0.014733333333333376,46137,6778
150,0.07613333333333339,0.009466666666666623,54601,9768
200,0.04093333333333338,0.00986666666666669,54627,17527
250,0.03266666666666662,0.00880000000000003,58342,16760
300,0.033333333333333326,0.00546666666666662,69119,20779
350,0.03146666666666664,0.00653333333333328,78495,29216
400,0.02306666666666668,0.005133333333333323,108688,33614
450,0.023866666666666703,0.00666666666666671,98744,36321
500,0.017266666666666652,0.0043333333333333,102372,39294
500,0.021533333333333293,0.0023333333333332984,97022,36177
600,0.013666666666666716,0.0025333333333333874,94765,45172
700,0.013666666666666716,0.0031999999999999806,139397,53940
800,0.010866666666666691,0.0030000000000000027,156520,57825
900,0.009800000000000031,0.002866666666666684,142073,66046
1000,0.009000000000000008,0.0037333333333333663,174204,76202
10,0.31446666666666667,0.1243333333333333,35986,756
20,0.2393333333333333,0.1495333333333333,37386,1614
30,0.18779999999999997,0.04946666666666666,38335,2351
40,0.23640000000000005,0.04953333333333332,40106,3181
50,0.14539999999999997,0.03306666666666669,41495,3922
100,0.0978,0.008399999999999963,47397,6840
150,0.05720000000000003,0.016933333333333356,50861,10884
200,0.049799999999999955,0.005800000000000027,54869,15316
250,0.039933333333333376,0.006866666666666688,68885,17500
300,0.03733333333333333,0.011399999999999966,71075,24235
350,0.030933333333333368,0.008199999999999985,75053,26790
400,0.024866666666666704,0.007600000000000051,86888,28719
450,0.022733333333333383,0.0070666666666666655,87958,33460
500,0.017933333333333357,0.0033999999999999586,95029,38143
