W: 60, PAA: 7, A: 8, S: exact
10,0.13013333333333332,0.27659999999999996,38273,995
20,0.006000000000000005,0.15180000000000005,43869,1918
30,0.006000000000000005,0.04266666666666663,53942,2523
40,0.004866666666666686,0.046666666666666634,48644,3147
50,0.006266666666666643,0.02413333333333334,48606,3933
100,0.0046000000000000485,0.017066666666666674,62555,8440
150,0.0023999999999999577,0.013333333333333308,65618,13355
200,0.002466666666666617,0.0074666666666666215,83787,16386
250,0.0028000000000000247,0.010000000000000009,83921,20072
300,0.0026000000000000467,0.013733333333333375,98997,24510
350,0.002066666666666661,0.0041999999999999815,92657,33055
400,0.0029333333333333433,0.006466666666666621,100261,32185
450,0.0030000000000000027,0.00653333333333328,92595,41243
500,0.0025333333333333874,0.0036000000000000476,107231,39949
500,0.0025333333333333874,0.0050000000000000044,120474,47347
600,0.0020000000000000018,0.0041999999999999815,95832,48200
700,0.0023999999999999577,0.0023333333333332984,116575,53640
800,0.0018666666666666831,0.0031333333333333213,148910,60771
900,0.0021999999999999797,0.002466666666666617,127945,80601
1000,0.002266666666666639,0.003066666666666662,153306,89032
10,0.028800000000000048,0.19486666666666663,33234,626
20,0.012533333333333285,0.08386666666666664,38774,1680
30,0.012466666666666626,0.06486666666666663,39111,2501
40,0.004133333333333322,0.07346666666666668,41050,2678
50,0.0026000000000000467,0.022533333333333294,41288,3350
100,0.0028000000000000247,0.014333333333333309,47303,7290
150,0.0021333333333333204,0.010600000000000054,64484,9774
200,0.0021333333333333204,0.007000000000000006,67443,17391
250,0.0020000000000000018,0.00666666666666671,74831,21655
300,0.0015333333333333865,0.005266666666666642,68311,27326
350,0.002266666666666639,0.0070666666666666655,84428,30297
400,0.0019333333333333425,0.009133333333333327,111778,33560
450,0.002266666666666639,0.0027333333333333654,111196,33916
500,0.0018000000000000238,0.003066666666666662,113657,41267
500,0.0023999999999999577,0.010000000000000009,125606,40488
600,0.002666666666666706,0.006000000000000005,121525,42214
700,0.0031999999999999806,0.004466666666666619,128548,51400
800,0.0018666666666666831,0.003066666666666662,121039,61193
900,0.0023333333333332984,0.0036000000000000476,129040,67982
1000,0.0016666666666667052,0.0035333333333333883,155871,72536
10,0.02533333333333332,0.0968,34148,810
20,0.009733333333333372,0.05046666666666666,37252,1518
30,0.013399999999999967,0.054400000000000004,43416,2408
40,0.008333333333333304,0.0305333333333333,46022,3283
50,0.0050000000000000044,0.05940000000000001,45800,4449
100,0.004866666666666686,0.01633333333333331,53936,8122
150,0.005066666666666664,0.01533333333333331,56627,10485
200,0.002066666666666661,0.007533333333333281,81867,16265
250,0.002266666666666639,0.012733333333333374,89599,17964
300,0.0021333333333333204,0.007600000000000051,94889,20561
350,0.0021333333333333204,0.006466666666666621,80293,24573
400,0.0018000000000000238,0.0035333333333333883,83610,28805
