W: 60, PAA: 8, A: 7, S: classic
10,0.3157333333333333,0.26193333333333335,35488,747
20,0.18466666666666665,0.04386666666666672,37363,1889
30,0.19379999999999997,0.056333333333333346,41077,1631
40,0.13660000000000005,0.05133333333333334,43281,3555
50,0.12406666666666666,0.03193333333333337,46459,4818
100,0.05813333333333337,0.01880000000000004,53570,8333
150,0.0652666666666667,0.017933333333333357,65760,15542
200,0.04566666666666663,0.019066666666666676,63781,17162
250,0.034399999999999986,0.010266666666666646,74380,17850
300,0.02966666666666662,0.010066666666666668,95420,19835
350,0.019000000000000017,0.007133333333333325,100315,25015
400,0.019266666666666654,0.005733333333333368,88623,27464
450,0.015533333333333288,0.0033333333333332993,98428,41719
500,0.015533333333333288,0.0030000000000000027,101579,51571
500,0.015800000000000036,0.006733333333333369,109296,38160
600,0.01093333333333335,0.00666666666666671,124455,55304
700,0.009399999999999964,0.0043333333333333,131303,72826
800,0.009333333333333305,0.003066666666666662,141652,76102
900,0.009333333333333305,0.0036000000000000476,142824,77954
1000,0.007199999999999984,0.003066666666666662,184768,125180
10,0.252,0.27693333333333336,38368,976
20,0.22773333333333334,0.11593333333333333,39810,1742
30,0.20599999999999996,0.1747333333333333,41523,3124
40,0.15180000000000005,0.038000000000000034,44154,3007
50,0.11686666666666667,0.029000000000000026,44359,3343
100,0.08686666666666665,0.013399999999999967,49573,8339
150,0.045399999999999996,0.008600000000000052,60909,15002
200,0.04153333333333331,0.007866666666666688,91795,19696
250,0.02959999999999996,0.007333333333333303,69446,16797
300,0.025466666666666637,0.006066666666666665,87771,23427
350,0.019466666666666632,0.00546666666666662,73404,33574
400,0.017133333333333334,0.00653333333333328,81979,33699
450,0.014133333333333331,0.0041999999999999815,113824,32885
500,0.013800000000000034,0.005933333333333346,118425,51371
500,0.014599999999999946,0.007333333333333303,116532,45121
600,0.012466666666666626,0.0027333333333333654,122419,67059
700,0.009399999999999964,0.0033999999999999586,147659,91365
800,0.009666666666666712,0.0021999999999999797,150801,90730
900,0.00993333333333335,0.0040000000000000036,151125,104061
1000,0.006866666666666688,0.0028000000000000247,172327,107516
10,0.31820000000000004,0.1552,39091,984
20,0.2191333333333333,0.10373333333333334,39446,1937
30,0.1784,0.10586666666666666,42813,2277
40,0.18286666666666662,0.0806,44709,4040
50,0.1356666666666667,0.061799999999999966,40674,4288
100,0.0736,0.01966666666666672,54732,8720
150,0.05833333333333335,0.01100000000000001,60562,12695
200,0.03473333333333328,0.011266666666666647,66536,20204
250,0.03406666666666669,0.011933333333333351,69808,19666
300,0.028866666666666707,0.005866666666666687,75359,28411
350,0.02313333333333334,0.006199999999999983,91846,40570
400,0.019066666666666676,0.006399999999999961,96278,36416
450,0.01973333333333338,0.003666666666666707,103549,48718
500,0.017933333333333357,0.0031999999999999806,104955,52074
500,0.015066666666666673,0.00539999999999996,114065,39979
600,0.011199999999999988,0.0048000000000000265,116394,41920
700,0.01200000000000001,0.004066666666666663,130204,69810
800,0.010133333333333328,0.002066666666666661,150844,93072
900,0.010199999999999987,0.002866666666666684,146653,107961
1000,0.008600000000000052,0.0016666666666667052,163649,99823
10,0.31786666666666663,0.24306666666666665,38446,876
20,0.21899999999999997,0.16486666666666672,37433,2305
30,0.14380000000000004,0.08279999999999998,38235,2085
40,0.131,0.041066666666666696,42257,3083
50,0.14873333333333338,0.020266666666666655,44376,3733
100,0.10140000000000005,0.025399999999999978,56666,11974
150,0.06559999999999999,0.011333333333333306,61812,14822
200,0.04073333333333329,0.008933333333333349,69200,20929
250,0.037866666666666715,0.005866666666666687,91232,29345
300,0.029333333333333322,0.007800000000000029,80273,26874
350,0.02306666666666668,0.008533333333333282,88648,37212
400,0.01873333333333338,0.003066666666666662,87707,43754
450,0.01533333333333331,0.00660000000000005,94943,45232
500,0.014800000000000035,0.003666666666666707,92851,43605
500,0.016599999999999948,0.0048000000000000265,137230,40654
600,0.011133333333333328,0.0043999999999999595,125074,57940
700,0.010600000000000054,0.0028000000000000247,136503,67502
800,0.01100000000000001,0.0016666666666667052,135701,94202
900,0.009133333333333327,0.002266666666666639,157684,97400
1000,0.009133333333333327,0.0038000000000000256,168503,128265
10,0.28733333333333333,0.20353333333333334,38331,995
20,0.27893333333333337,0.09360000000000002,42539,2248
30,0.17479999999999996,0.14306666666666668,46139,2988
40,0.13453333333333328,0.05153333333333332,43435,4505
50,0.12026666666666663,0.037866666666666715,49183,3756
100,0.07520000000000004,0.018333333333333313,51796,9509
150,0.046533333333333315,0.013466666666666627,60130,13167
200,0.03820000000000001,0.009533333333333283,68186,24101
250,0.0325333333333333,0.010133333333333328,96483,16372
300,0.02513333333333334,0.013933333333333353,74952,36325
350,0.016733333333333378,0.007000000000000006,106057,33025
400,0.019133333333333336,0.0072666666666666435,110280,40938
450,0.016000000000000014,0.006933333333333347,101242,55412
500,0.01419999999999999,0.00773333333333337,132578,59866
500,0.014933333333333354,0.004466666666666619,89631,43208
600,0.014599999999999946,0.00539999999999996,110809,71315
700,0.012599999999999945,0.002666666666666706,141411,84004
800,0.008666666666666711,0.0046000000000000485,150252,69811
900,0.008533333333333282,0.002866666666666684,155117,101775
1000,0.009133333333333327,0.0037333333333333663,157235,117847
10,0.3606666666666667,0.3116,38797,1007
20,0.2715333333333333,0.10993333333333333,40169,2096
30,0.1695333333333333,0.026866666666666705,50558,3131
40,0.12826666666666664,0.04200000000000004,46896,2896
50,0.14373333333333338,0.039000000000000035,46686,4721
100,0.07799999999999996,0.011199999999999988,66079,9616
150,0.05020000000000002,0.015599999999999947,65429,17090
200,0.04066666666666663,0.009399999999999964,65895,23440
250,0.031066666666666687,0.008333333333333304,98261,19716
300,0.02093333333333336,0.010800000000000032,69586,23811
350,0.022199999999999998,0.008600000000000052,87448,30798
400,0.01646666666666663,0.006266666666666643,83113,39734
450,0.018933333333333358,0.006933333333333347,112275,40428
500,0.012866666666666693,0.005733333333333368,107548,48494
500,0.01880000000000004,0.006000000000000005,116053,52269
600,0.013066666666666671,0.0038000000000000256,119860,66568
700,0.012800000000000034,0.006000000000000005,152364,77159
800,0.010266666666666646,0.004133333333333322,143729,72994
900,0.010000000000000009,0.003066666666666662,150191,95421
1000,0.00886666666666669,0.00326666666666664,155416,102371
10,0.34773333333333334,0.22686666666666666,38248,941
20,0.22640000000000005,0.06113333333333337,43140,2168
30,0.18653333333333333,0.10540000000000005,43742,2708
40,0.16713333333333336,0.05713333333333337,42834,4449
50,0.1385333333333333,0.03600000000000003,45164,4468
100,0.07613333333333339,0.009666666666666712,48690,7922
150,0.05259999999999998,0.016133333333333333,56496,9740
200,0.041200000000000014,0.008000000000000007,63267,17015
250,0.03200000000000003,0.005266666666666642,78622,27913
300,0.023333333333333317,0.0076666666666667105,81565,27974
350,0.022199999999999998,0.005733333333333368,92170,37436
400,0.01980000000000004,0.009066666666666667,103249,43493
450,0.017866666666666697,0.007333333333333303,81882,43227
500,0.011333333333333306,0.006733333333333369,86481,48273
500,0.011066666666666669,0.004133333333333322,94570,51093
600,0.015133333333333332,0.0043999999999999595,108083,49548
700,0.012533333333333285,0.0038000000000000256,120110,70989
800,0.010399999999999965,0.00326666666666664,129092,83991
900,0.008000000000000007,0.003066666666666662,166643,97376
1000,0.008533333333333282,0.0043999999999999595,186983,92504
10,0.32499999999999996,0.14806666666666668,40934,1194
20,0.21906666666666663,0.11286666666666667,40664,2104
30,0.20186666666666664,0.15100000000000002,44622,2986
40,0.14646666666666663,0.04500000000000004,45529,4277
50,0.12593333333333334,0.05413333333333337,45625,4818
100,0.06273333333333331,0.01539999999999997,55524,10785
