W: 60, PAA: 8, A: 7, S: noreduction
10,0.05793333333333328,0.27326666666666666,42929,1073
20,0.016800000000000037,0.07266666666666666,50688,1294
30,0.010199999999999987,0.08073333333333332,62864,2397
40,0.006399999999999961,0.06986666666666663,55838,3525
50,0.004733333333333367,0.012599999999999945,64713,3998
100,0.0021999999999999797,0.01859999999999995,89821,8839
150,0.0012666666666666382,0.009133333333333327,118761,11038
200,0.0014666666666666162,0.00993333333333335,127600,19301
250,0.0012666666666666382,0.006933333333333347,150666,22748
300,0.0011333333333333195,0.011800000000000033,180139,28661
350,0.0010000000000000009,0.003466666666666618,177368,35744
400,0.0014666666666666162,0.006000000000000005,178646,39521
450,0.0010666666666666602,0.003933333333333344,176267,45714
500,0.0010000000000000009,0.005733333333333368,189722,50291
500,0.0013333333333332975,0.00326666666666664,197132,48250
600,0.0010000000000000009,0.004933333333333345,201862,58737
700,9.333333333333416E-4,0.004133333333333322,231485,72565
800,0.0010666666666666602,0.0035333333333333883,244744,97335
900,0.0010666666666666602,0.004066666666666663,287484,105330
1000,9.333333333333416E-4,0.00326666666666664,301242,110195
10,0.15426666666666666,0.1757333333333333,46723,670
20,0.019000000000000017,0.23293333333333333,57670,1728
30,0.009733333333333372,0.04353333333333331,62353,2270
40,0.0043999999999999595,0.04686666666666661,70007,3589
50,0.00326666666666664,0.035733333333333284,58735,5139
100,0.0033999999999999586,0.03500000000000003,87754,8755
150,0.0020000000000000018,0.01426666666666665,115668,13386
200,0.0013999999999999568,0.007933333333333348,131802,17753
250,0.0013999999999999568,0.0050000000000000044,119866,26259
300,0.002066666666666661,0.008000000000000007,153732,31977
350,0.0016666666666667052,0.0074666666666666215,162820,38030
400,0.0014666666666666162,0.003466666666666618,183760,38500
450,0.0014666666666666162,0.006399999999999961,194399,39635
500,0.0011999999999999789,0.005533333333333279,205623,48010
500,0.0016666666666667052,0.004666666666666708,202659,49263
600,0.0014666666666666162,0.0036000000000000476,234879,60968
700,0.0013333333333332975,0.0016666666666667052,227336,78412
800,0.0010000000000000009,0.0023999999999999577,271111,83907
900,0.0011333333333333195,0.0026000000000000467,283686,98530
1000,8.000000000000229E-4,0.0030000000000000027,279327,114045
10,0.05193333333333339,0.13726666666666665,43291,850
20,0.01100000000000001,0.031266666666666665,50932,2372
30,0.009466666666666623,0.04686666666666661,54063,3335
40,0.005733333333333368,0.03920000000000001,62718,3870
50,0.005333333333333301,0.05386666666666662,73188,4680
100,0.0018666666666666831,0.011399999999999966,94600,7911
150,0.002266666666666639,0.013466666666666627,127866,13020
200,0.0016666666666667052,0.006866666666666688,136096,16181
250,0.0016000000000000458,0.008266666666666644,125366,20532
300,8.666666666666822E-4,0.0033333333333332993,156726,27476
350,0.0012666666666666382,0.005800000000000027,159385,37602
400,0.0011333333333333195,0.005133333333333323,179913,42429
450,0.0013333333333332975,0.0043999999999999595,164228,44204
500,8.666666666666822E-4,0.006733333333333369,222116,54355
500,9.333333333333416E-4,0.0038000000000000256,182600,50439
600,0.0010666666666666602,0.005600000000000049,235230,59877
700,8.666666666666822E-4,0.0037333333333333663,220444,77787
800,9.333333333333416E-4,0.002466666666666617,240269,89217
900,9.333333333333416E-4,0.0021333333333333204,258398,89723
1000,8.000000000000229E-4,0.0028000000000000247,273138,116712
10,0.04473333333333329,0.22753333333333337,48373,1319
20,0.008133333333333326,0.04313333333333336,54296,2004
30,0.00546666666666662,0.0928,57662,3227
40,0.01526666666666665,0.1326666666666667,67015,3610
50,0.007399999999999962,0.04153333333333331,65645,5140
100,0.0027333333333333654,0.02426666666666666,88123,13697
150,0.0013333333333332975,0.011666666666666714,121799,12549
200,0.0010666666666666602,0.009199999999999986,152665,22128
250,0.0012666666666666382,0.008399999999999963,147919,24205
300,0.0011999999999999789,0.006199999999999983,179542,27486
350,0.0012666666666666382,0.006000000000000005,170075,37907
400,0.0016666666666667052,0.004866666666666686,171388,44501
