W: 60, PAA: 7, A: 7, S: noreduction
10,0.004066666666666663,0.06046666666666667,37554,902
20,0.002066666666666661,0.02966666666666662,40096,2010
30,0.0014666666666666162,0.03866666666666663,44752,3258
40,0.0011999999999999789,0.03286666666666671,43365,3958
50,0.0016666666666667052,0.013933333333333353,50985,6179
100,9.333333333333416E-4,0.008066666666666666,56880,7362
150,6.666666666667043E-4,0.0046000000000000485,57085,14061
200,6.666666666667043E-4,0.004133333333333322,76070,21162
250,3.9999999999995595E-4,0.002066666666666661,60135,22576
300,2.666666666666373E-4,0.0016000000000000458,68622,30487
350,6.666666666667043E-4,0.0013333333333332975,79339,37783
400,6.000000000000449E-4,0.0018666666666666831,89555,37705
450,6.000000000000449E-4,6.000000000000449E-4,81879,45512
500,3.9999999999995595E-4,8.000000000000229E-4,78704,43534
10,0.0048000000000000265,0.08753333333333335,36136,940
20,0.0027333333333333654,0.032200000000000006,43722,1841
30,0.0018666666666666831,0.022133333333333338,41678,3016
40,0.0010666666666666602,0.019399999999999973,46984,3648
50,0.0011333333333333195,0.018333333333333313,47956,4373
100,6.000000000000449E-4,0.01213333333333333,51712,8322
150,6.000000000000449E-4,0.004666666666666708,66678,14681
200,3.9999999999995595E-4,0.004866666666666686,66650,21498
250,5.333333333333856E-4,0.0029333333333333433,77954,22063
300,3.9999999999995595E-4,8.000000000000229E-4,82649,32737
350,2.666666666666373E-4,4.6666666666661527E-4,96114,29432
400,4.6666666666661527E-4,0.0013999999999999568,77972,40030
450,4.6666666666661527E-4,8.666666666666822E-4,77626,37869
500,3.9999999999995595E-4,6.000000000000449E-4,115201,49268
10,0.00326666666666664,0.03846666666666665,35912,920
20,0.0018666666666666831,0.03166666666666662,41160,1836
30,6.666666666667043E-4,0.020533333333333292,43189,2509
40,0.0012666666666666382,0.005933333333333346,42990,4651
50,0.0012666666666666382,0.017066666666666674,45304,4194
100,5.333333333333856E-4,0.006800000000000028,56143,9604
150,3.9999999999995595E-4,0.004066666666666663,62997,11970
200,6.666666666667043E-4,0.003866666666666685,61452,18508
250,4.6666666666661527E-4,0.0036000000000000476,80787,23982
300,3.9999999999995595E-4,0.0015333333333333865,77534,25603
350,5.333333333333856E-4,0.0016000000000000458,96508,33122
400,3.9999999999995595E-4,8.000000000000229E-4,82007,40612
450,3.9999999999995595E-4,0.0016666666666667052,87470,42994
500,5.333333333333856E-4,0.0011999999999999789,81542,46981
10,0.0072666666666666435,0.0968,36060,628
20,0.0037333333333333663,0.033333333333333326,40684,1931
30,0.0012666666666666382,0.03486666666666671,46548,2833
40,0.0015333333333333865,0.027866666666666706,44975,3383
50,4.6666666666661527E-4,0.01866666666666672,54629,4771
100,7.333333333333636E-4,0.013466666666666627,56869,9922
150,0.0011999999999999789,0.005600000000000049,72603,16692
200,6.000000000000449E-4,0.0018666666666666831,63688,21387
250,0.0017333333333333645,0.0030000000000000027,82594,30241
300,7.333333333333636E-4,0.002066666666666661,62986,35526
350,0.0010000000000000009,0.0025333333333333874,83210,39706
400,5.333333333333856E-4,7.333333333333636E-4,82400,46385
450,3.333333333332966E-4,0.0011999999999999789,83777,53086
500,3.333333333332966E-4,5.333333333333856E-4,99284,48762
10,0.030066666666666686,0.08240000000000003,40157,1300
20,0.0023333333333332984,0.029866666666666708,46911,2195
30,0.0010000000000000009,0.02426666666666666,50016,3467
40,0.0027333333333333654,0.010000000000000009,48258,4201
50,0.0011333333333333195,0.022399999999999975,52995,5321
100,6.000000000000449E-4,0.010266666666666646,64805,11347
150,0.0013333333333332975,0.0031333333333333213,60261,16889
200,4.6666666666661527E-4,0.003466666666666618,67326,19865
250,6.000000000000449E-4,0.002666666666666706,61129,25261
300,4.6666666666661527E-4,0.0023333333333332984,88942,29362
350,4.6666666666661527E-4,0.0011999999999999789,89228,38620
400,5.333333333333856E-4,0.0016666666666667052,85275,43456
450,2.666666666666373E-4,4.6666666666661527E-4,108013,52573
500,6.000000000000449E-4,8.000000000000229E-4,106778,60837
10,0.0048000000000000265,0.07020000000000004,41299,1140
20,0.0010000000000000009,0.03739999999999999,46291,2013
30,0.0014666666666666162,0.03506666666666669,48910,3678
40,0.0010666666666666602,0.011266666666666647,53038,4299
50,0.0010000000000000009,0.008333333333333304,51518,5534
100,9.333333333333416E-4,0.012199999999999989,57992,9844
150,6.666666666667043E-4,0.006800000000000028,66551,16473
200,2.666666666666373E-4,0.003666666666666707,89113,17452
250,3.333333333332966E-4,0.0018666666666666831,82509,25811
300,5.333333333333856E-4,0.0023999999999999577,89093,28184
350,2.666666666666373E-4,5.333333333333856E-4,95366,31919
400,1.9999999999997797E-4,0.0014666666666666162,82595,44346
450,3.333333333332966E-4,7.333333333333636E-4,99609,48160
500,2.666666666666373E-4,3.9999999999995595E-4,109319,59584
10,0.006399999999999961,0.0722666666666667,40754,928
20,0.0025333333333333874,0.0325333333333333,40970,2085
30,0.0013999999999999568,0.021399999999999975,42753,3293
40,0.0023999999999999577,0.034533333333333305,47530,3749
50,9.333333333333416E-4,0.011333333333333306,51645,4559
100,6.666666666667043E-4,0.007866666666666688,58913,9413
150,6.666666666667043E-4,0.0031999999999999806,69682,18092
200,3.333333333332966E-4,0.0020000000000000018,70124,19723
250,3.9999999999995595E-4,0.0029333333333333433,89182,22992
300,5.333333333333856E-4,0.0017333333333333645,82093,33350
350,3.333333333332966E-4,0.0026000000000000467,81114,31519
400,4.6666666666661527E-4,0.0011999999999999789,83497,47114
450,3.9999999999995595E-4,0.0013333333333332975,92421,50762
500,3.9999999999995595E-4,8.666666666666822E-4,101618,53604
10,0.0043333333333333,0.04286666666666672,40437,901
20,0.0031333333333333213,0.05033333333333334,41097,1742
30,0.0011333333333333195,0.021466666666666634,45455,2813
40,0.0021333333333333204,0.021066666666666678,50682,5102
50,5.333333333333856E-4,0.007866666666666688,52275,5603
100,0.0016000000000000458,0.0074666666666666215,53615,12035
150,6.000000000000449E-4,0.005800000000000027,60389,14323
200,4.6666666666661527E-4,0.0016000000000000458,82216,24259
250,5.333333333333856E-4,0.0018000000000000238,81943,29740
300,5.333333333333856E-4,0.0016000000000000458,80632,36512
350,5.333333333333856E-4,6.000000000000449E-4,82642,37303
400,5.333333333333856E-4,9.333333333333416E-4,101725,42556
450,6.000000000000449E-4,9.333333333333416E-4,84589,46998
500,5.333333333333856E-4,8.666666666666822E-4,85709,58475
10,0.00653333333333328,0.0984666666666667,39439,1101
20,0.002866666666666684,0.02533333333333332,42754,1622
30,0.0013333333333332975,0.042200000000000015,47507,3817
40,0.0017333333333333645,0.01419999999999999,48876,4582
50,0.0010666666666666602,0.00886666666666669,47079,5037
100,7.333333333333636E-4,0.011533333333333284,63111,8823
150,8.000000000000229E-4,0.006933333333333347,69513,16103
200,6.000000000000449E-4,0.003466666666666618,54987,21491
250,2.666666666666373E-4,0.0012666666666666382,72405,28369
300,1.9999999999997797E-4,3.333333333332966E-4,73343,29958
350,3.9999999999995595E-4,0.0021999999999999797,81902,38596
400,1.9999999999997797E-4,9.333333333333416E-4,91920,48226
450,3.333333333332966E-4,0.0015333333333333865,89055,49615
500,1.9999999999997797E-4,0.0011333333333333195,98802,60284
10,0.008600000000000052,0.0839333333333333,39453,1373
20,0.0010000000000000009,0.031266666666666665,45010,1973
30,0.002466666666666617,0.04966666666666664,48280,2966
40,8.000000000000229E-4,0.018000000000000016,47814,4385
50,6.666666666667043E-4,0.027000000000000024,51276,5587
100,0.0010000000000000009,0.009000000000000008,58042,11050
150,3.9999999999995595E-4,0.0043333333333333,70933,16007
200,5.333333333333856E-4,0.0014666666666666162,70405,20544
250,3.333333333332966E-4,0.0021333333333333204,67906,24279
300,3.9999999999995595E-4,0.0023333333333332984,72154,34192
350,3.9999999999995595E-4,8.000000000000229E-4,75029,41885
400,4.6666666666661527E-4,0.0016666666666667052,81472,44848
450,6.666666666665932E-5,0.0010000000000000009,78708,44119
500,1.3333333333331865E-4,9.333333333333416E-4,99463,57174
600,3.333333333332966E-4,0.0010000000000000009,91684,75077
700,2.666666666666373E-4,0.0012666666666666382,98953,83275
800,3.9999999999995595E-4,1.9999999999997797E-4,100482,92927
900,4.6666666666661527E-4,3.333333333332966E-4,108148,89429
1000,1.3333333333331865E-4,1.9999999999997797E-4,108900,111547
600,1.9999999999997797E-4,0.0013999999999999568,85759,73380
700,2.666666666666373E-4,0.0,96799,80619
800,3.9999999999995595E-4,6.666666666665932E-5,109671,91357
900,1.3333333333331865E-4,3.333333333332966E-4,102540,111471
1000,2.666666666666373E-4,5.333333333333856E-4,119030,110498
600,3.9999999999995595E-4,3.9999999999995595E-4,105058,66981
700,3.333333333332966E-4,5.333333333333856E-4,95847,74657
800,3.9999999999995595E-4,5.333333333333856E-4,107368,86757
900,2.666666666666373E-4,2.666666666666373E-4,115079,102298
1000,1.9999999999997797E-4,2.666666666666373E-4,134145,113978
600,2.666666666666373E-4,9.333333333333416E-4,116204,67873
700,2.666666666666373E-4,1.3333333333331865E-4,91180,75418
800,3.9999999999995595E-4,2.666666666666373E-4,103885,90560
900,1.3333333333331865E-4,6.666666666665932E-5,104639,98467
1000,1.9999999999997797E-4,2.666666666666373E-4,112319,113314
600,1.9999999999997797E-4,8.666666666666822E-4,95563,61114
700,4.6666666666661527E-4,6.666666666667043E-4,99846,80736
800,4.6666666666661527E-4,8.666666666666822E-4,107950,87188
900,4.6666666666661527E-4,1.9999999999997797E-4,115934,97264
1000,3.9999999999995595E-4,5.333333333333856E-4,118089,122288
600,4.6666666666661527E-4,3.9999999999995595E-4,110866,59999
700,6.000000000000449E-4,4.6666666666661527E-4,105425,83025
800,4.6666666666661527E-4,6.666666666667043E-4,124683,103226
900,6.000000000000449E-4,3.9999999999995595E-4,104296,108853
1000,3.333333333332966E-4,5.333333333333856E-4,118712,121842
600,3.333333333332966E-4,8.000000000000229E-4,105731,66544
700,3.333333333332966E-4,7.333333333333636E-4,110848,70748
800,3.333333333332966E-4,6.000000000000449E-4,119117,90793
900,3.333333333332966E-4,2.666666666666373E-4,115121,105971
1000,3.333333333332966E-4,3.333333333332966E-4,127264,116142
600,2.666666666666373E-4,1.3333333333331865E-4,100102,68070
700,6.000000000000449E-4,4.6666666666661527E-4,90835,75695
800,3.333333333332966E-4,4.6666666666661527E-4,92671,94432
900,3.9999999999995595E-4,3.333333333332966E-4,114266,111693
1000,5.333333333333856E-4,2.666666666666373E-4,120144,126265
600,4.6666666666661527E-4,8.666666666666822E-4,93786,58359
700,3.9999999999995595E-4,3.9999999999995595E-4,112867,82297
800,3.9999999999995595E-4,1.9999999999997797E-4,100423,99543
900,5.333333333333856E-4,5.333333333333856E-4,112091,107237
1000,3.333333333332966E-4,2.666666666666373E-4,116054,117009
600,4.6666666666661527E-4,6.666666666667043E-4,89521,82986
700,1.9999999999997797E-4,1.9999999999997797E-4,128767,81994
800,2.666666666666373E-4,3.9999999999995595E-4,99988,92401
900,1.3333333333331865E-4,5.333333333333856E-4,112120,105603
1000,3.333333333332966E-4,3.333333333332966E-4,100995,93090
