Name	Classes	Training set	Testing set	Length	1-NN EU	1-NN DTW	SAX-VSM	CV Error	CV Runtime
UCRSynthetic Synthetic Control	6	300	300	60	 0.12 	0.007	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/synthctrl/UCRSyntheticWebProper.java 0.0133 (45,7,5,exact)]	 0.0133 	 14m 
CBF	3	30	900	128	0.148	0.003	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/cbf/UCRcbfWebProper.java 0.0011 (55,4,12,nored)] 	 0.0 	 10s 
Gun Point	2	50	150	150	0.087	0.093	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/gun/UCRGunWebProper.java 0.0066 (32,12,9,exact)] 	 0.0 	 18s 
50 words	50	450	455	270	0.369	0.310	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/ftwords/UCR50wordsWebProper.java 0.3582 (190,10,3,exact)] 	 0.3578 	 32h31m 
Trace	4	100	100	275	0.24	0.0	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/trace/UCRtraceWebProper.java 0.0000 (220,16,11,exact)] 	 0.0 	 2m20s 
Adiac	37	390	391	176	0.389	0.396	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/adiac/UCRAdiacWebProper.java 0.3785 (100,24,16,nored)] 	 0.4025 	 1h54m 
Yoga	2	300	3000	426	0.170	0.164	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/yoga/UCRYogaWebProper.java 0.1496 (70,14,15,nored)] 	 0.1466 	 23h30m 
Beef	5	30	30	470	0.467	0.5	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/beef/UCRBeefWebProper.java  0.1999 (19,17,3,exact)] 	 0.4 	 12m 
Coffee 	2	28	28	286	0.25	0.179	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/coffee/UCRCoffeeWebProper.java 0.0000 (107,22,3,nored)] 	 0.0 	 1h44m 
Olive Oil	4	30	30	570	 0.133 	 0.133 	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/olive/UCROliveWebProper.java 0.0999 (460,52,13,classic)] 	 0.0666 	 3h18m 
ECG200 	2	100	100	96	 0.12 	0.23	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/ecg/UCRECGWebProper.java 0.1400 (44,9,5,exact)] 	 0.09 	 39m 
ECG 5 days 	2	23	861	136	 0.065 	0.232 	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/ecg/UCRECG5DaysWebProper.java 0.0100 (41,11,4,exact)] 	 0.0 	 20m 
Face (all)	14	560	1,69	131	0.286	0.192	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/face/UCRfaceWebProper.java 0.2065 (42,8,4,nored)] 	 0.0160 	 12h 
Face (four)	4	24	88	350	0.216	0.170 	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/face4/UCRFace4WebProper.java 0.0000 (67,7,5,exact)] 	 0.0 	 2m00s 
Fish	7	175	175	463	0.217	0.167	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/fish/UCRFishWebProper.java 0.0171 (99,19,8,nored)] 	 0.0514 	 14h15m 
Swedish Leaf	15	500	625	128	 0.213 	0.210	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/swdleaf/UCRswdleafWebProper.java 0.2512 (49,9,7,exact)] 	 0.272 	 10h00m 
[OSULeafPatterns OSU Leaf]	6	200	242	427	0.483	0.409	 [https://code.google.com/p/jmotif/source/browse/trunk/src/edu/hawaii/jmotif/performance/osuleaf/UCRosuleafWebProper.java 0.0867 (33,8,12,nored)] 	 0.085 	 10h57m 
